"","text"
0,"FGF14 modulates resurgent sodium current in mouse cerebellar Purkinje neurons."
1,"Rapid firing of cerebellar Purkinje neurons is facilitated in part by a voltage-gated Na+ (NaV) 'resurgent' current, which allows renewed Na+ influx during membrane repolarization. Resurgent current results from unbinding of a blocking particle that competes with normal channel inactivation. The underlying molecular components contributing to resurgent current have not been fully identified. Here, we show that the NaV channel auxiliary subunit FGF14 'b' isoform, a locus for inherited spinocerebellar ataxias, controls resurgent current and repetitive firing in Purkinje neurons. FGF14 knockdown biased NaV channels towards the inactivated state by decreasing channel availability, diminishing the 'late' NaV current, and accelerating channel inactivation rate, thereby reducing resurgent current and repetitive spiking. Critical for these effects was both the alternatively spliced FGF14b N-terminus and direct interaction between FGF14b and the NaV C-terminus. Together, these data suggest that the FGF14b N-terminus is a potent regulator of resurgent NaV current in cerebellar Purkinje neurons."
2,"[Drug-related Anaphylactic Shocks: Under-reporting and PMSI.]"
3,"Aim. To evaluate the value of research in the case-mix database to identify cases of drug-related anaphylactic or anaphylactoid shock. Methods. Hospital stays of patients discharged from the University Hospital of Saint-Etienne between July 1st 2009 and June 30th 2012. Five codes from the international classification of diseases were selected: T88.6, T88.2, J39.3, T80.5 and T78.2. Results. Among 89 cases identified by the programme for medicalization of information system (programme de medicalisation des systemes d'information, PMSI), 40 were selected (45%). Of these, 16 cases were spontaneously reported by physicians. The unspecific code ""anaphylactic shock unspecified (T78.2)"" was coded for 57.5% of cases. Conclusion. The study confirms the interest of the PMSI as a tool for health monitoring, in addition to spontaneous reporting. Nevertheless, coding with insufficient precision about the causal role of the drug, requires a return to the medical record and so an important time consuming process."
4,"Fever Evaluation Cost and Time to Treatment in the General Surgery Patient Can be Reduced by Using a Fever Practice Guideline."
5,"OBJECTIVES: Evaluation of surgical patients with fever and leukocytosis (FAL) for an infection source often results in unnecessary laboratory and radiographic tests. The average cost of an FAL work-up ranges from $2200 to $5600. Lack of a systematic approach drives costs higher than necessary. We evaluated differences in time to treatment and costs using usual methods of FAL work-ups versus FAL work-ups using an established fever practice guideline (FPG). METHODS: In phase I, a retrospective electronic chart review was conducted for 82 adult surgery patients who underwent FAL work-ups to determine time from initial temperature presentation to fever treatment and total cost per fever evaluation. In phase II, an established FPG was applied to 30 intensive care unit patients from the original group of 82 using phase I data points. Differences in cost and time to treatment were compared using a paired t-test. RESULTS: Mean time to fever treatment decreased from 51.57 hours pre-FPG use to 11.23 hours afterward (p < 0.001), a 78% reduction in time to definitive treatment. Mean cost of FAL work-up decreased from $1,009.73 without FPG use to $399.00 with a 60% reduction in costs. CONCLUSIONS: Using a standardized FPG, FAL work-up time to treatment and cost can be significantly reduced."
6,"Factors Associated With Obesity: A Case-Control Study of Young Adult Singaporean Males."
7,"A case-control study among Singapore Armed Forces' newly enlisted Servicemen was conducted to examine factors associated with male obesity. Four hundred and fifty-nine individuals from the Obese Basic Military Training program were selected as ""cases"" (average age: 19.5, body mass index: 30.4) and another 340 individuals were selected from the Normal Basic Military Training program as ""controls"" (average age: 19.3, body mass index: 21.4). Information such as family background, socioeconomic factors, and lifestyle practices were captured using facilitator-led questionnaires. Several variables were significantly associated with obesity after adjustments for possible confounders. These include childhood obesity (odds ratio [OR] = 2.06), less than an hour of exercise per day (OR = 2.97), Indian ethnicity (OR = 2.22), specific education backgrounds (especially that of Institute of Technical Education-OR = 2.75), father's employment at nonmanagerial/professional jobs (OR = 1.52), mother's employment at managerial/professional jobs (OR = 2.02), regular smoking (OR = 1.73) and alcohol consumption (OR = 2.26), 6 hours or less of sleep (OR = 3.73), obesity among family members (OR = 1.86 for mother; OR = 2.98 for siblings), parental history of diabetes mellitus (OR = 2.22 for father; OR = 2.70 for mother), and eating at inexpensive local food stalls (OR = 1.82). Our study found that a number of factors, ranging from personal and family backgrounds to lifestyle choices, were significantly associated with obesity among male youths."
8,"The Ketamine Analog Methoxetamine: A New Designer Drug to Threaten Military Readiness."
9,"Recent years have seen the emergence and proliferation of ""legal highs"" or ""designer drugs,"" compounds purposefully designed as legal alternatives to controlled substances of abuse. This article describes methoxetamine, a dissociative drug belonging to the arylcyclohexylamine class including phencyclidine and ketamine. Methoxetamine acts principally on the glutamatergic N-methyl-D-aspartate receptor and the serotonin receptor. It is sold as a white or off-white powder. Marketed as a ""bladder friendly"" alternative to ketamine, preliminary research suggests renal and cystic toxicity similar to ketamine. Methoxetamine is primarily ingested nasally, though also orally, intramuscularly, intravenously, and rectally. Users report dissociative features and, at higher doses, an ""m-hole"" experience akin to ketamine's ""k-hole"" described as extreme depersonalization and derealization. The 13 cases of acute methoxetamine toxicity described in the literature are summarized. The toxidrome consists of dissociation/delirium, sympathetic activation, and cerebellar symptoms. Methoxetamine is not detected in standard urine drug tests and there are no reliable laboratory findings. Management of acute methoxetamine toxicity is supportive, consisting of benzodiazepines, antiemetics, intravenous fluids, and respiratory support as indicated. Should methoxetamine conform to the observed 2-year lag of designer drugs migrating from Europe to the United States usage may increase in early 2014."
10,"Use and Abuse of Prescribed Opioids, Central Nervous System Depressants, and Stimulants Among U.S. Active Duty Military Personnel in FY 2010."
