許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,醫療器材級數,通關簽審文件編號,中文品名,英文品名,醫器主類別一,醫器次類別一,限制項目,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠國別,異動日期,效能,製程,製造廠公司地址,劑型,包裝
衛署醫器輸壹字第001052號,已註銷,2013-01-18,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400105204,羅氏解脂酶生化檢驗試劑,"Roche/Hitachi LIP","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM, GERMANY",GERMANY,2013-01-20,,,,,
衛署醫器陸輸壹字第000098號,已註銷,2012-11-26,許可證已逾有效期,2011-01-13,2006-01-13,醫　器,,,"""复星"" 牙科治療椅","""Foshion"" Chair Mounted Dental Unit","F 牙科裝置","F6250 牙科治療椅及其附件","輸　入 ;;大陸生產",軒亮股份有限公司,新北市淡水區崁頂里崁頂57-6號,33791644,"SHANGHAI FOSHION MEDICAL INSTRUMENT CO., LTD.","1F, NO.211, JIANGCHANG SAN ROAD, SHANGHAI 200436, CHINA",CHINA,2012-11-27,,,,,
衛署醫器輸壹字第001272號,,,,2015-10-27,2005-10-27,醫　器,,DHA04400127205,"美堅DRI尿比重值試驗系統 (未滅菌)","MGC DRI Gravity-Detect Test System (Non-Sterile)","A 臨床化學及臨床毒理學用裝置","A2800 臨床使用的折射計","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-04-13,用來評估尿中的比重。,,,,
衛署醫器製字第000062號,已註銷,1992-02-24,列屬無須查驗登記項目範圍,1991-09-12,1980-09-12,醫　器,,DHY00500006204,電子錶式血壓計,"""KENLU"" ELECTRONIC SPHYGMOMANOMETER","0503 電子血壓計",,國　產,迪泰精密企業有限公司,高雄巿鼓山區中華一路９４８號,75988366,迪泰精密企業有限公司,高雄巿鼓山區中華一路９４８號,TAIWAN,2001-12-30,,,,,
衛署醫器製字第000063號,已註銷,1992-02-24,列屬無須查驗登記項目範圍,1991-09-12,1980-09-12,醫　器,,DHY00500006306,錶式血壓計,"""KENLU"" ANEROLD SPHYGMOMANOMETER","0502 錶式血壓計",,國　產,迪泰精密企業有限公司,高雄巿鼓山區中華一路９４８號,75988366,迪泰精密企業有限公司,高雄巿鼓山區中華一路９４８號,TAIWAN,2001-12-30,,,,,
衛署醫器輸壹字第001273號,,,,2015-10-27,2005-10-27,醫　器,,DHA04400127307,亞培設計師溶液系統組,"ABBOTT ARCHITECT solution system","B 血液學及病理學用裝置",,"輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","100/200 ABBOTT PARK ROAD, ABBOTT PARK, ILLINOIS 60064, U.S.A.","UNITED STATES",2014-08-04,"用於ABBOTT ARCHITECT system 之溶液以輔助測試之進行。",,,,
衛署醫器輸壹字第001053號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400105306,羅氏可霸斯印諦快膽固醇生化檢驗試劑第二代,"COBAS INTEGRA Cholesterol Gen.2","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM, GERMANY",GERMANY,2010-06-11,定量血清和血漿中的膽固醇濃度。,,,,
衛署醫器輸壹字第001054號,已註銷,2012-11-19,許可證已逾有效期,2010-11-17,2005-11-17,醫　器,,DHA04400105408,浸潤式尿液品管液,"Dipper Urine Dipstick Control","A 臨床化學及臨床毒理學",,"輸　入 ",萬灃國際有限公司,台北市大安區復興南路２段２３６號６樓之３,23723598,"QUANTIMETRIX CORPORATION","2005 MANHATTAN BEACH BLVD., REDONDO BEACH, CA 90278-1205 U.S.A.","UNITED STATES",2012-11-19,,,,,
衛署醫器輸壹字第001055號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400105500,"""德國虎瑪""自動化尿液分析系統","""Human""COMBILYZER PLUS","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",德醫生技有限公司,台中市西區五權三街81號5樓之4,53266817,"HUMAN GESELLSCHAFT FUR BIOCHEMICA UND DIAGNOSTICA MBH","MAX-PLANCK-RING 21 D-65205 WIESBADEN GERMANY",GERMANY,2013-11-27,自動化量測尿液中某些物理特性和化學成分的尿液分析系統器材。,,,,
衛署醫器輸壹字第001056號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400105602,"〝德國虎瑪〞鐵結合能力檢驗試劑 (未滅菌)","""Human"" TIBC：Total Iron-Binding Capacity (Non-Sterile)","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",德醫生技有限公司,台中市西區五權三街81號5樓之4,53266817,"HUMAN GESELLSCHAFT FUR BIOCHEMICA UND DIAGNOSTICA MBH","MAX-PLANCK-RING 21 D-65205 WIESBADEN GERMANY",GERMANY,2013-11-27,鐵結合能力試驗系統是測量血清、血漿、尿液及其他體液中鐵結合能力的濃度含量。,,,,
衛署醫器輸壹字第001057號,已註銷,2012-11-22,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400105701,德賽尿酸液體試劑盒,"DiaSys Uric Acid FS TBHBA","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",嘉誠國際醫事服務顧問有限公司,台北市信義區虎林街222巷23號,80156898,"DIASYS DIAGNOSTIC SYSTEMS GMBH","ALTE STRABE 9  D-65558 HOLZHEIM GERMANY",GERMANY,2012-11-23,,,,,
衛署醫器輸壹字第001058號,已註銷,2012-11-22,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400105803,德賽脂肪酶液體試劑盒,"DiaSys Lipase DC FS","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",嘉誠國際醫事服務顧問有限公司,台北市信義區虎林街222巷23號,80156898,"DIASYS DIAGNOSTIC SYSTEMS GMBH","ALTE STRABE 9  D-65558 HOLZHEIM GERMANY",GERMANY,2012-11-23,,,,,
衛署醫器製字第000064號,已註銷,2004-10-27,未展延而逾期者,1998-10-30,1980-10-30,醫　器,,DHY00500006408,塑膠注射針,"""SIGMA"" DISPOSABLE INJECTION NEEDLE","1001 塑膠注射針",,國　產,聯和醫療器材股份有限公司,台北縣瑞芳鎮頂坪路３４號,33886753,聯和醫療器材股份有限公司,台北縣瑞芳鎮頂坪路３４號,TAIWAN,2004-10-29,,,,,
衛署醫器輸壹字第001059號,已註銷,2012-11-22,許可證已逾有效期,2010-10-19,2005-10-19,醫　器,,DHA04400105905,德賽三酸甘油酯液體試劑盒,"DiaSys Triglycerides FS","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",嘉誠國際醫事服務顧問有限公司,台北市信義區虎林街222巷23號,80156898,"DIASYS DIAGNOSTIC SYSTEMS GMBH","ALTE STRABE 9  D-65558 HOLZHEIM GERMANY",GERMANY,2012-11-23,,,,,
衛署醫器輸壹字第001060號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106003,和光無機磷,"WAKO P","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"WAKO PURE CHEMICAL INDUSTRIES, LTD. (MIE PLANT)","2613-2, OAZA OGOHARA, KOMONO-CHO, MIE-GUN MIE 510-1222, JAPAN",JAPAN,2010-07-23,測量血清、血漿及尿中無機亞磷酸。,,,,
衛署醫器輸壹字第001060號,,,,2015-10-19,2005-10-19,醫　器,,DHA04400106003,和光無機磷,"WAKO P","A 臨床化學及臨床毒理學用裝置",,"輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"WAKO PURE CHEMICAL INDUSRIES, LTD.","1-2, DOSHOMACHI 3-CHOME, CHUO-KU, OSAKA 540-8605, JAPAN",JAPAN,2010-07-23,測量血清、血漿及尿中無機亞磷酸。,,,,
