,Q,A
0,關於肺癌，為什麼會得肺癌?,目前成因仍不明確，主要的危險因子包括:吸菸、環境因素如石綿等、家族史、慢性肺部疾病如肺纖維化或慢性阻塞性肺病。
1,關於肺癌，肺腺癌和肺癌有什麼不一樣嗎?,肺腺癌是肺癌的其中一種。
2,關於肺癌，我家人可以做低劑量電腦斷層掃描篩檢嗎?,"具肺癌家族史和重度吸菸史 可每2年一次免費補助篩檢
1. 具肺癌家族史：50～74歲男性或45～74歲女性，且其父母、子女或兄弟姊妹經診斷為肺癌之民眾。
2. 重度吸菸史：50～74歲吸菸史30年以上，且1天1包以上，或1天吸菸3包，持續10年，並有意願戒菸或戒菸15年內的重度吸菸者。"
3,關於肺癌，我罹癌了，我該怎麼吃?,"請參考https://www.ecancer.org.tw/CustomizationPage1.aspx?
CustID=1079&UnitID=10234
(衛教手冊)"
4,關於肺癌，「標靶治療」常見的副作用有哪些？,「標靶治療」藥物的副作用通常比傳統化學治療低。「標靶治療」比較不會產生骨髓抑制，也比較不會有白血球、血小板低下或貧血的現象，但會出現一些不同於化學治療的副作用。例如「艾瑞莎」和「得舒緩」會使得皮膚乾癢、長出像青春痘般的疹子、甲溝炎、腹瀉等等，少部分病人的肝功能還會上升。另外，大約有1%的人服用這類藥物會產生「間質性肺炎」（大多發生在開始服藥後的前兩個月），這是比較嚴重的副作用，病人可能因此呼吸衰竭，因此服用此類藥物若發生呼吸困難、咳嗽加劇，發燒的症狀，請迅速就醫。
5,關於肺癌，服用標靶藥物有什麼不能吃嗎?,建議葡萄柚、柚子、人蔘不要吃
6,關於肺癌，藥物治療期間應該要吃甚麼？,"接受化學治療期間應避免生食及未煮熟的食物，並注意維持高
蛋白、高卡路里的食物，增加維生素 A 及C，以預防感染。"
7,"關於肺癌，藥物治療期間出現口腔
潰瘍時應如何照護？","化療期間應於餐後刷牙或漱口，並每日以牙線清潔牙縫一次，
以維持口腔清潔。口腔潰瘍時，食物質地宜採軟質或流質，並進
食無酸性、溫暖或涼的食物，以減少刺激。必要時向您的個案管
理師做進一步的照護諮詢。"
8,關於肺癌，手術後會一直咳嗽正常嗎?,術後咳嗽為常見現象，一般約需1-3個月修復時間，避免辛辣、刺激的食物
9,關於肺癌，手術後會麻痛不適正常嗎?,與手術傷到神經有關，一般約需3-6個月修復時間
10,關於肺癌，什麼時後要至急診就醫呢?,1. 如果耳溫上升至38 度，隔一小時再量仍未下降或24小時內有兩次體溫上升至38度以上，或第一次測量體溫高燒至38.5度以上，即應至醫院掛急診，並告知急診醫師您的診斷及上次進行化學治療時間。2.劇烈嘔吐。3.呼吸喘、呼吸困難
11,關於肺癌，發生口腔黏膜炎要怎麼照顧?,請參考衛教資訊「癌症病人口腔黏膜炎照護須知」https://www.vghtc.gov.tw/APIPage/HealthEduDetail?PDFFILE=171E8DE8C97.pdf&PDFTITLE=%E7%99%8C%E7%97%87%E7%97%85%E4%BA%BA%E5%8F%
12,關於肺癌，發生口腔潰瘍要怎麼照顧?,請參考「化學治療-常見副作用(中)」https://www.youtube.com/watch?v=aBHLE-h6Y5M&feature=youtu.be
13,關於肺癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(上)」https://youtu.be/8P83kA7EnK8
14,關於肺癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(下)」https://youtu.be/ib4uP2m26bE
15,關於肺癌，在化學治療期間我可以吃中藥進補嗎?,建議均衡飲食 或與您的主治醫師討論。
16,關於肺癌，我便祕了怎麼辦?,請參考衛教資訊https://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=7b7cd96f-2d02-45e3-99d4-f41e6939384d&UnitID=18272b34-99f2-4b3a-9139-3959ac05f5a0&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
17,關於肺癌，治療沒食慾怎麼辦?,請參考衛教資訊https://www.youtube.com/watch?v=8mH4DkcAlGA&list=PLTuzBRPLNTXw7Qz615srtpSIXkDVl9CpH&index=4
18,關於肺癌，化療後感覺手麻腳麻的怎麼辦?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/1303
19,關於肺癌，人工血管要怎麼照顧?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/887
20,關於肺癌，治療中可以做什麼運動呢?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/572
21,關於肺癌，化學治療期間飲食衛教,"請參考衛教資訊
化學治療期間的飲食照護及營養支持-護理部衛教單張"
22,關於肺癌，什麼是新藥臨床試驗？,藥品必須進行臨床實驗，獲得對人體安全性及有效性的資料之後，才能提出新藥申請，如獲核准方可上市供適合的病人使用。因此，臨床試驗是以人為試驗對象的研究。一般臨床試驗分為4期：第一期至第四期，逐步推進。目前臨床上使用的藥物，尤其是抗癌用藥，幾乎都已通過臨床試驗，有其足夠的安全性及有效性。
23,關於肺癌，參加臨床試驗可能的好處為何？,參與臨床試驗的受試者，可以優先使用新的療法，此療法有可能優於目前的標準治療。他們在臨床試驗的過程中，將會獲得研究團隊嚴謹仔細及最先進的醫療照顧，特別是國際藥廠所做的跨國性臨床試驗，嚴謹度更是無庸置疑。受試者有機會因新的治療方法而受益，研究的結果也能夠幫助未來的病人。
24,關於肺癌，參加臨床試驗會有什麼風險或副作用？,各種治療方法都有其風險及副作用，臨床試驗也不例外，副作用因所用藥物及個人體質而異。由於癌症是一種會威脅生命的疾病，癌症的治療本身往往也會出現副作用，因此您在決定參與臨床試驗前，一定要請醫師評估病情及個人的身體狀況，充分了解可能遭遇的風險及好處後，再決定是否加入。
25,關於肺癌，什麼樣的人可以參加臨床試驗？,通常臨床試驗訂有一定的收錄篩選標準，受試者須符合該試驗的篩選標準，以降低參加臨床藥物試驗的危險程度。每一個臨床試驗設定的標準都不同，譬如某些臨床試驗會排除有心臟疾病的患者，有些試驗僅選擇肺癌第四期的病人等等。臨床醫師必須仔細評估受試者的身體狀況，並且詳細解釋，讓受試者在完全瞭解該臨床試驗的潛在好處及危險性，受試者簽署同意書之後，才能參加臨床試驗。
